# mention légale générique	poids
En cas de retard de paiement, une pénalité égale à 3 fois le taux d'intérêt légal sera exigible (Décret 2009-138 du 9 février 2009).	40
Pour les professionnels, une indemnité minimum forfaitaire de 40 euros pour frais de recouvrement sera exigible (Décret 2012-1115 du 9 octobre 2012).	38
Escompte pour règlement anticipé : 0%	36
Les sommes étant arrondies, le total des sommes unitaires peut différer du montant total prélevé.	34
Sans escompte. En cas de retard de paiement, application, pour les professionnels uniquement, d'un taux égal à trois fois le taux d'intérêt légal.	32
TVA non applicable, article 293 B du Code général des impôts.	30
Clause de réserve de propriété : les marchandises restent la propriété du vendeur jusqu'au paiement intégral.	28
Le délai de rétractation de 14 jours ne s'applique pas aux prestations pleinement exécutées.	26
Conformément au règlement (UE) 2016/679, vous disposez d'un droit d'accès et de rectification.	24
Laboratoire accrédité COFRAC — Examens médicaux — Accréditation n°8-2132	22
Seules certaines prestations rapportées dans ce document sont couvertes par l'accréditation.	20
Document à conserver 5 ans	18
